"iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","total_tests","new_tests","total_tests_per_thousand"
"AUS","Oceania","Australia","2019-12-31",NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS","Oceania","Australia","2020-01-01",NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS","Oceania","Australia","2020-01-02",NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS","Oceania","Australia","2020-01-03",NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS","Oceania","Australia","2020-01-04",NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS","Oceania","Australia","2020-01-05",NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS","Oceania","Australia","2020-01-06",NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS","Oceania","Australia","2020-01-07",NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS","Oceania","Australia","2020-01-08",NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS","Oceania","Australia","2020-01-09",NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS","Oceania","Australia","2020-01-10",NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS","Oceania","Australia","2020-01-11",NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS","Oceania","Australia","2020-01-12",NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS","Oceania","Australia","2020-01-13",NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS","Oceania","Australia","2020-01-14",NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS","Oceania","Australia","2020-01-15",NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS","Oceania","Australia","2020-01-16",NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS","Oceania","Australia","2020-01-17",NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS","Oceania","Australia","2020-01-18",NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS","Oceania","Australia","2020-01-19",NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS","Oceania","Australia","2020-01-20",NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS","Oceania","Australia","2020-01-21",NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS","Oceania","Australia","2020-01-22",NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS","Oceania","Australia","2020-01-23",NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS","Oceania","Australia","2020-01-24",NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS","Oceania","Australia","2020-01-25",1,1,0.143,NA,0,0,0.039,0.039,0.006,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS","Oceania","Australia","2020-01-26",4,3,0.571,NA,0,0,0.157,0.118,0.022,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS","Oceania","Australia","2020-01-27",4,0,0.571,NA,0,0,0.157,0,0.022,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS","Oceania","Australia","2020-01-28",4,0,0.571,NA,0,0,0.157,0,0.022,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS","Oceania","Australia","2020-01-29",4,0,0.571,NA,0,0,0.157,0,0.022,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS","Oceania","Australia","2020-01-30",6,2,0.857,NA,0,0,0.235,0.078,0.034,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS","Oceania","Australia","2020-01-31",7,1,1,NA,0,0,0.275,0.039,0.039,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS","Oceania","Australia","2020-02-01",9,2,1.143,NA,0,0,0.353,0.078,0.045,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS","Oceania","Australia","2020-02-02",11,2,1,NA,0,0,0.431,0.078,0.039,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS","Oceania","Australia","2020-02-03",11,0,1,NA,0,0,0.431,0,0.039,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS","Oceania","Australia","2020-02-04",11,0,1,NA,0,0,0.431,0,0.039,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS","Oceania","Australia","2020-02-05",12,1,1.143,NA,0,0,0.471,0.039,0.045,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
